key,English,Italian
noteGunGameG,"Gun Game Note","Biglietto Gioco Delle Armi"
noteRepeatGunGameG,"Gun Game Repeat Note","Biglietto Riavvio Gioco Delle Armi"
noteGunGameGDesc,"Read the note to begin your journey on becoming a gun master.\n \n-The Zombie Ops","Istruzioni per diventare un maestro delle armi.\n \n-Zombie Ops"
noteRepeatGunGameGDesc,"Read the note to rebegin your journey on becoming a gun master.\n \n-The Zombie Ops","Istruzioni per ridiventare un maestro delle armi.\n \n-Zombie Ops"
bagGunGameG,"Gun Game Bag","Zaino Gioco Delle Armi"
bagGunGameGDesc,"A bag containing all the guns you've used.","Uno zaino che contiene tutte le armi."
quest_startGunGameG,"Gun Game Start","Inizio Gioco Delle Armi"
quest_startGunGameG_offer,"Every 100 zombie kills will progress the gun game, but every death will demote you back to the previous gun.\nLastly each time you succeed or fail a gun game challenge, you will lose every mod installed into the weapon. Remove them from the weapon before, if you don't want to lose them.\n\nGood Luck.\nThe Zombie Ops","Fai 100 uccisioni per progredire il gioco delle armi, ma ogni morte ti riporta indietro.\nInfine ogni volta che completi o fallisci una parte del gioco delle armi, perderai le mod installte nell'arma, quindi togligli prima, così non li perdi.\n\nBuona Fortuna.\nZombie Ops"
quest_startGunGameG_subtitle,"Gun Game Start","Inizio Gioco Delle Armi"
quest_startGunGameG_description,"Every 100 zombie kills will progress the gun game, but every death will demote you back to the previous gun.","Fai 100 uccisioni per progredire il gioco delle armi, ma ogni morte ti riporta indietro."
quest_repeatGunGameG,"Gun Game Restart","Riavvio Gioco Delle Armi"
quest_repeatGunGameG_offer,"Every 100 zombie kills will progress the gun game, but every death will demote you back to the previous gun.\n\nGood Luck.\nThe Zombie Ops","Fai 100 uccisioni per progredire il gioco delle armi, ma ogni morte ti riporta indietro.\n\nBuona Fortuna.\nZombie Ops"
quest_repeatGunGameG_subtitle,"Gun Game Restart","Riavvio Gioco Delle Armi"
quest_repeatGunGameG_description,"Every 100 zombie kills will progress the gun game, but every death will demote you back to the previous gun.","Fai 100 uccisioni per progredire il gioco delle armi, ma ogni morte ti riporta indietro."
gunBowGunGameG,Primitive Bow,Arco Primitivo
gunBowGunGameGDesc,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo.,"Buono per la caccia e per uccidere gli zombie. Necessita di frecce.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni."
gunWoodenBowGunGameG,Wooden Bow,Arco Di Legno
gunWoodenBowGunGameGDesc,Good for hunting and killing zombies. Uses arrows for ammunition.\nHold reload to use alternate ammo."Buono per la caccia e per uccidere gli zombie. Necessita di frecce.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni."
gunCompoundBowGunGameG,Compound Bow,Arco Composito
gunCompoundBowGunGameGDesc,A compound bow does more damage and arrows fly straighter which makes it easier to aim.,Un arco composito infligge più danni e le frecce hanno una traiettoria più dritta che agevola la mira.
gunIronCrossbowGunGameG,Iron Crossbow,Balestra Di Ferro
gunIronCrossbowGunGameGDesc,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.,"Una balestra è lenta da ricaricare ma infligge più danni rispetto a un arco.\nÈ un'arma che spara anche sott'acqua.\nTieni premuto ""Ricarica"" per equipaggiare altre munizioni."
gunCompoundCrossbowGunGameG,Compound Crossbow,Balestra Composita
gunPipePistolGunGameG,Pipe Pistol,Pistola Tubolare
gunPipePistolGunGameGDesc,A home-made pistol firing 9mm ammo.,Una pistola artigianale che spara munizioni da 9 mm.
gunPistolGunGameG,Pistol,Pistola
gunPistolGunGameGDesc,A basic pistol that uses 9mm ammo.,Una semplice pistola che usa munizioni da 9 mm.
gunSMGGunGameG,SMG-5,SMG-5
gunSMGGunGameGDesc,This submachine gun uses 9mm ammo.,Questo mitra usa munizioni da 9 mm.
gunMagnumGunGameG,.44 Magnum,.44 Magnum
gunMagnumGunGameGDesc,The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.,"La .44 Magnum è la regina delle pistole. È la più potente, ma anche la più rumorosa. Impugna questa bellezza e rendi il buon vecchio Clint Eastwood fiero di te."
gunDesertVultureGunGameG,.44 Desert Vulture,.44 Avvoltoio Del Deserto
gunDesertVultureGunGameGDesc,This heavy pistol uses .44 Magnum ammo.,Questa pistola pesante usa munizioni per .44 Magnum.
gunPipeShotgunGunGameG,Pipe Shotgun,Fucile Tubolare
gunPipeShotgunGunGameGDesc,A home-made gun firing shotgun shells.\nEffective at very close ranges.,Una pistola artigianale che spara bossoli di fucile.\n\nEfficace a cortissimo raggio.
gunDoubleBarrelShotgunGunGameG,Double Barrel Shotgun,Doppietta
gunDoubleBarrelShotgunGunGameGDesc,A rusty old double barrel shotgun, great for close range carnage.,"Una vecchia doppietta arrugginita, perfetta per i massacri a distanze ravvicinate."
gunPumpShotgunGunGameG,Pump Shotgun,Fucile A Pompa
gunPumpShotgunGunGameGDesc,A long-barreled shotgun with pump action loading.,Un fucile a canna lunga con ricarica a pompa.
gunAutoShotgunGunGameG,Auto Shotgun,Fucile Automatico
gunAutoShotgunGunGameGDesc,This semi automatic shotgun is a rare and devastating short range weapon capable of making minced meat out of anything in its path.,"Questo fucile semiautomatico è un'arma a corto raggio rara e devastante, capace di trasformare in carne da macello qualsiasi cosa sul suo cammino."
gunPipeRifleGunGameG,Pipe Rifle,Carabina Tubolare
gunPipeRifleGunGameGDesc,A home-made rifle firing 7.62mm ammo.,"Una carabina automatica artigianale che spara munizioni da 7,62 mm."
gunHuntingRifleGunGameG,Hunting Rifle,Fucile Da Caccia
gunHuntingRifleGunGameGDesc,This common farmer's hunting rifle uses 7.62mm ammo.,"Questo normale fucile da caccia usa munizioni da 7,62 mm."
gunLeverActionRifleGunGameG,Lever Action Rifle,Fucile A Leva
gunLeverActionRifleGunGameGDesc,This Lever Action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.,"Questo fucile a leva usa munizioni da 7,62 mm ed è la scelta giusta se vuoi che il colpo vada a segno."
gunSniperRifleGunGameG,Sniper Rifle,Fucile Da Cecchino
gunSniperRifleGunGameGDesc,This high precision, long ranged rifle is perfect for sniping enemies at great distances.,Questo fucile ad alta precisione e lungo raggio è perfetto per eliminare i nemici a grande distanza.
gunPipeMachineGunGunGameG,Pipe Machine Gun,Mitragliatrice Tubolare
gunPipeMachineGunGunGameGDesc,A home-made automatic weapon firing 7.62mm ammo.,"Un'arma automatica artigianale che spara munizioni da 7,62 mm."
gunAK47GunGameG,AK-47 Machine Gun,Mitragliatrice AK-47
gunAK47GunGameGDesc,This badass AK-47 Machine Gun uses 7.62mm ammo.,"L'AK-47 è una cazzutissima mitragliatrice che usa munizioni da 7,62 mm."
gunTacticalARGunGameG,Tactical Assault Rifle,Fucile D'Assalto Tattico
gunTacticalARGunGameGDesc,This Tactical Assault Rifle uses 7.62mm ammo.,"Questo fucile d'assalto tattico usa munizioni da 7,62 mm."
gunM60GunGameG,M60 Machine Gun,Mitragliatrice M60
gunM60GunGameGDesc,Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.,"Le mitragliatrici sono piuttosto ingombranti da usare ma spaccano in fatto di fuoco automatico. Questa qui usa munizioni da 7,62 mm."
gunRocketLauncherGunGameG,Rocket Launcher,Lanciarazzi
gunRocketLauncherGunGameGDesc,A Rocket Launcher shoots rocket propelled grenades.,Un lanciarazzi spara granate a propulsione.
quest_tier1_GunGameG,"Tier 1 Gun Game","Gioco Delle Armi Grado 1"
quest_tier1_GunGameG_subtitle,"Kill 100 Zombies With Primitive Bow","Uccidi 100 Zombie Usando L'Arco Primitivo"
quest_tier1_GunGameG_offer,"You need to kill 100 zombies with the received primitive bow. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con l'arco primitivo ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier1_GunGameG_repeat_offer,"You need to kill 100 zombies with the received primitive bow. Death will fail the quest.","Devi uccidere 100 zombie con l'arco primitivo ricevuto. Fallisci il gioco delle armi se muori."
zombieSkullGunGameG,"Zombie Skull","Teschio Di Zombie"
zombieSkullGunGameGDesc,"Skull from a zombie killed by Gun Game challenger."Teschio di uno zombie ucciso da uno sfidante del Gioco Delle Armi."
quest_tier2_GunGameG,"Tier 2 Gun Game","Gioco Delle Armi Grado 2"
quest_tier2_GunGameG_subtitle,"Kill 100 Zombies With Pipe Shotgun","Uccidi 100 Zombie Usando Il Fucile Tubolare"
quest_tier2_GunGameG_offer,"You need to kill 100 zombies with the received pipe shotgun. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con il fucile tubolare ricevuto. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier2_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pipe shotgun. Death will fail the quest.","Devi uccidere 100 zombie con il fucile tubolare ricevuto. Fallisci il gioco delle armi se muori."
quest_tier3_GunGameG,"Tier 3 Gun Game","Gioco Delle Armi Grado 3"
quest_tier3_GunGameG_subtitle,"Kill 100 Zombies With Pipe Pistol","Uccidi 100 Zombie Usando La Pistola Tubolare"
quest_tier3_GunGameG_offer,"You need to kill 100 zombies with the received pipe pistol. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la pistola tubolare ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier3_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pipe pistol. Death will fail the quest.","Devi uccidere 100 zombie con la pistola tubolare ricevuta. Fallisci il gioco delle armi se muori."
quest_tier4_GunGameG,"Tier 4 Gun Game","Gioco Delle Armi Grado 4"
quest_tier4_GunGameG_subtitle,"Kill 100 Zombies With Pipe Rifle","Uccidi 100 Zombie Usando La Carabina Tubolare"
quest_tier4_GunGameG_offer,"You need to kill 100 zombies with the received pipe rifle. Death will fail the quest.\n\nRemember to remove any mod installed into the weapon.","Devi uccidere 100 zombie con la carabina tubolare ricevuta. Fallisci il gioco delle armi se muori.\n\nRicordati di togliere le mod dall'arma."
quest_tier4_GunGameG_repeat_offer,"You need to kill 100 zombies with the received pipe rifle. Death will fail the quest.","Devi uccidere 100 zombie con la carabina tubolare ricevuta. Fallisci il gioco delle armi se muori."
quest_tier5_GunGameG,"Tier 5 Gun Game","Gioco Delle Armi Grado 5"
quest_tier5_GunGameG_subtitle,"Kill 100 Zombies With Pipe Machine Gun","Uccidi 100 Zombie Usando La Mitragliatrice Tubolare"
